incident_id,date,n_killed,n_injured,latitude,longitude
461105,1/1/13,0,4,40.3467,-79.8559
460726,1/1/13,1,3,33.909,-118.333
478855,1/1/13,1,3,41.4455,-82.1377
478925,1/5/13,4,0,39.6518,-104.802
478959,1/7/13,2,2,36.114,-79.9569
478948,1/7/13,4,0,36.2405,-95.9768
479363,1/19/13,5,0,34.9791,-106.716
479374,1/21/13,0,5,29.9435,-90.0836
479389,1/21/13,0,4,37.9656,-121.718
491674,1/23/13,1,6,39.2899,-76.6412
479413,1/23/13,1,3,35.0221,-85.2697
479561,1/25/13,1,3,38.7067,-90.2494
479554,1/26/13,2,3,29.8816,-91.5251
479460,1/26/13,0,5,38.8978,-76.9717
479573,1/26/13,1,3,39.9252,-83.8218
479580,2/2/13,0,5,35.0803,-89.8871
479592,2/3/13,1,3,39.1236,-121.583
479603,2/7/13,0,4,41.7592,-87.5628
480311,2/9/13,0,4,29.9563,-90.0676
480327,2/11/13,1,4,38.1072,-122.228
480344,2/11/13,3,2,39.7407,-75.5499
480358,2/12/13,4,1,40.6008,-111.903
480383,2/19/13,4,3,33.8031,-117.943
480401,2/21/13,1,3,36.1722,-95.8778
480407,2/22/13,0,4,42.9371,-85.6853
480443,2/23/13,0,4,34.6666,-118.131
481186,2/24/13,0,8,32.826,-83.6704
481198,3/2/13,1,3,32.442,-93.7726
481208,3/3/13,2,2,31.1824,-83.7912
481213,3/3/13,0,4,43.3944,-83.9082
481220,3/4/13,1,3,37.0857,-120.828
481229,3/5/13,1,3,39.7927,-86.0328
481237,3/7/13,2,2,32.2649,-90.2141
482771,3/10/13,0,5,38.955,-94.5211
482801,3/11/13,0,13,38.9062,-77.0099
482856,3/13/13,2,2,33.2498,-117.309
482838,3/13/13,6,2,43.011,-75.0058
482926,3/14/13,0,4,37.626,-121.011
482934,3/16/13,0,7,38.2436,-121.312
482942,3/17/13,2,3,37.9531,-121.266
483737,3/17/13,0,5,26.6968,-80.6837
483765,3/21/13,0,7,41.7358,-87.6631
483788,3/21/13,1,3,39.0383,-94.5849
483835,3/22/13,1,3,40.5803,-74.0005
483817,3/30/13,3,2,37.3603,-120.654
483861,3/31/13,3,2,47.3149,-122.224
483872,4/6/13,1,4,34.1868,-82.1638
483878,4/7/13,1,3,40.9018,-73.8511
484268,4/7/13,1,3,33.8479,-118.19
484279,4/9/13,1,3,39.9924,-75.13
484307,4/10/13,0,4,38.1519,-122.261
484287,4/14/13,2,4,33.5985,-112.113
484317,4/14/13,1,4,38.0485,-84.453
484333,4/18/13,4,0,41.1102,-81.4771
484351,4/21/13,5,0,47.303,-122.31
485746,4/22/13,0,4,41.7906,-87.6418
485811,4/22/13,0,5,29.8736,-90.0568
489185,4/24/13,6,1,39.5417,-90.3301
485821,4/25/13,0,4,41.2927,-82.2347
485874,4/27/13,1,3,29.4035,-82.3647
485885,4/28/13,0,5,35.2479,-80.726
485979,4/28/13,1,3,39.8564,-75.3587
984353,4/28/13,2,2,35.6141,-88.815
486005,5/2/13,1,0,39.3167,-76.6085
486027,5/2/13,0,5,40.7268,-74.2116
486056,5/4/13,0,4,35.5076,-78.3221
486068,5/5/13,0,5,37.4717,-122.14
486109,5/6/13,0,4,40.3091,-78.9124
486142,5/10/13,3,1,33.8447,-118.307
486121,5/11/13,5,0,39.1149,-85.8929
486244,5/11/13,0,4,40.0505,-75.1554
486153,5/11/13,0,4,40.7207,-74.0593
486209,5/12/13,0,5,33.4473,-111.503
486316,5/12/13,0,19,29.9861,-90.0595
1007785,5/13/13,0,4,39.1788,-84.5124
486327,5/14/13,0,2,40.0521,-74.9578
486334,5/15/13,1,4,42.3613,-83.1787
873575,5/16/13,0,4,39.9204,-75.2296
486611,5/18/13,1,0,40.673,-73.7881
486586,5/18/13,0,4,37.0177,-78.1562
486605,5/19/13,2,2,35.079,-89.988
486617,5/19/13,0,4,42.3481,-83.0613
486623,5/20/13,0,4,41.8968,-87.7556
486971,5/23/13,2,2,36.3474,-83.2849
486977,5/24/13,2,2,35.3998,-118.952
486998,5/25/13,1,3,43.034,-83.7182
487052,5/25/13,1,4,37.0377,-76.3859
487082,5/28/13,1,3,35.0848,-89.9678
487088,5/29/13,0,4,41.8859,-87.6251
487261,5/31/13,0,4,33.749,-84.4211
489314,6/1/13,0,4,43.092,-87.94
487266,6/1/13,2,2,38.1472,-122.24
487271,6/2/13,0,4,39.8401,-86.1289
487435,6/2/13,0,7,36.8459,-76.1171
489581,6/2/13,0,7,33.0354,-85.0244
487645,6/7/13,6,1,34.026,-118.461
487659,6/9/13,0,4,39.955,-76.7412
487670,6/10/13,0,6,38.6647,-90.2506
487715,6/10/13,1,4,41.7904,-87.649